run_name,context,context_dim,context_names,biological_reference,comparison,dataset_subset_seed,generated_sampling_seed,n_dataset_baseline,n_generated_baseline,fmo_logp,dataset_logp_mean,dataset_logp_median,dataset_logp_std,generated_logp_mean,generated_logp_median,generated_logp_std,fmo_percentile_dataset,fmo_descending_rank_dataset,fmo_top_fraction_percent_dataset,fmo_percentile_generated,fmo_descending_rank_generated,fmo_top_fraction_percent_generated,supports_dataset_top5_aux,supports_original_top5_claim,training_best_epoch,training_best_val
nsf_h27_c5_seed0,c5,5,"['eta', 'tau_transfer', 'ipr', 'purity', 'c_l1']",FMO_Adolphs_Renger,FMO is scored under c_FMO and ranked against both dataset H_i scored under c_FMO and generated H ~ p_theta(H | c_FMO). The generated baseline is the direct check for the original C3 top-likelihood claim.,716,1012551,50000,50000,-39.125518798828125,-45.0739860534668,-43.25885009765625,11.5256929397583,-31.21225929260254,-31.05574607849121,4.936888694763184,68.144,15929,31.857362852742945,5.88,47061,94.12011759764805,False,False,82,21.9632890625
nsf_h27_c5_seed0,c5,5,"['eta', 'tau_transfer', 'ipr', 'purity', 'c_l1']",FMO_Adolphs_Renger,FMO is scored under c_FMO and ranked against both dataset H_i scored under c_FMO and generated H ~ p_theta(H | c_FMO). The generated baseline is the direct check for the original C3 top-likelihood claim.,717,1012552,50000,50000,-39.125518798828125,-45.00269317626953,-43.20585250854492,11.437215805053711,-31.193960189819336,-31.024578094482422,4.926265716552734,68.202,15900,31.799364012719742,5.87,47066,94.13011739765204,False,False,82,21.9632890625
nsf_h27_c5_seed0,c5,5,"['eta', 'tau_transfer', 'ipr', 'purity', 'c_l1']",FMO_Adolphs_Renger,FMO is scored under c_FMO and ranked against both dataset H_i scored under c_FMO and generated H ~ p_theta(H | c_FMO). The generated baseline is the direct check for the original C3 top-likelihood claim.,718,1012553,50000,50000,-39.125518798828125,-45.01313018798828,-43.283992767333984,11.479573249816895,-31.261335372924805,-31.090648651123047,4.943164348602295,68.202,15900,31.799364012719742,6.1339999999999995,46934,93.86612267754644,False,False,82,21.9632890625
nsf_h27_c5_seed0,c5,5,"['eta', 'tau_transfer', 'ipr', 'purity', 'c_l1']",FMO_Adolphs_Renger,FMO is scored under c_FMO and ranked against both dataset H_i scored under c_FMO and generated H ~ p_theta(H | c_FMO). The generated baseline is the direct check for the original C3 top-likelihood claim.,719,1012554,50000,50000,-39.125518798828125,-45.04344940185547,-43.286685943603516,11.507078170776367,-31.209550857543945,-31.040328979492188,4.954411029815674,68.28,15861,31.721365572688548,5.9639999999999995,47019,94.03611927761445,False,False,82,21.9632890625
nsf_h27_c5_seed0,c5,5,"['eta', 'tau_transfer', 'ipr', 'purity', 'c_l1']",FMO_Adolphs_Renger,FMO is scored under c_FMO and ranked against both dataset H_i scored under c_FMO and generated H ~ p_theta(H | c_FMO). The generated baseline is the direct check for the original C3 top-likelihood claim.,720,1012555,50000,50000,-39.125518798828125,-44.9268798828125,-43.1799201965332,11.368780136108398,-31.175277709960938,-31.00533103942871,4.9435858726501465,68.006,15998,31.99536009279814,5.884,47059,94.11611767764644,False,False,82,21.9632890625
nsf_h27_c12_seed0,c12,12,"['eta', 'tau_transfer', 'ipr', 'purity', 'c_l1', 'eig_sorted_0', 'eig_sorted_1', 'eig_sorted_2', 'eig_sorted_3', 'eig_sorted_4', 'eig_sorted_5', 'eig_sorted_6']",FMO_Adolphs_Renger,FMO is scored under c_FMO and ranked against both dataset H_i scored under c_FMO and generated H ~ p_theta(H | c_FMO). The generated baseline is the direct check for the original C3 top-likelihood claim.,716,1013621,50000,50000,-38.02290344238281,-50.775611877441406,-48.516700744628906,12.109872817993164,-28.435914993286133,-28.38860511779785,5.510598182678223,94.524,2739,5.477890442191156,4.232,47885,95.76808463830724,False,False,203,15.70259765625
nsf_h27_c12_seed0,c12,12,"['eta', 'tau_transfer', 'ipr', 'purity', 'c_l1', 'eig_sorted_0', 'eig_sorted_1', 'eig_sorted_2', 'eig_sorted_3', 'eig_sorted_4', 'eig_sorted_5', 'eig_sorted_6']",FMO_Adolphs_Renger,FMO is scored under c_FMO and ranked against both dataset H_i scored under c_FMO and generated H ~ p_theta(H | c_FMO). The generated baseline is the direct check for the original C3 top-likelihood claim.,717,1013622,50000,50000,-38.02290344238281,-50.743080139160156,-48.53514862060547,12.100903511047363,-28.379159927368164,-28.317113876342773,5.479875087738037,94.30199999999999,2850,5.699886002279954,4.08,47961,95.92008159836803,False,False,203,15.70259765625
nsf_h27_c12_seed0,c12,12,"['eta', 'tau_transfer', 'ipr', 'purity', 'c_l1', 'eig_sorted_0', 'eig_sorted_1', 'eig_sorted_2', 'eig_sorted_3', 'eig_sorted_4', 'eig_sorted_5', 'eig_sorted_6']",FMO_Adolphs_Renger,FMO is scored under c_FMO and ranked against both dataset H_i scored under c_FMO and generated H ~ p_theta(H | c_FMO). The generated baseline is the direct check for the original C3 top-likelihood claim.,718,1013623,50000,50000,-38.02290344238281,-50.71113967895508,-48.45579528808594,12.148003578186035,-28.366296768188477,-28.344655990600586,5.448417663574219,94.338,2832,5.663886722265555,3.8019999999999996,48100,96.19807603847923,False,False,203,15.70259765625
nsf_h27_c12_seed0,c12,12,"['eta', 'tau_transfer', 'ipr', 'purity', 'c_l1', 'eig_sorted_0', 'eig_sorted_1', 'eig_sorted_2', 'eig_sorted_3', 'eig_sorted_4', 'eig_sorted_5', 'eig_sorted_6']",FMO_Adolphs_Renger,FMO is scored under c_FMO and ranked against both dataset H_i scored under c_FMO and generated H ~ p_theta(H | c_FMO). The generated baseline is the direct check for the original C3 top-likelihood claim.,719,1013624,50000,50000,-38.02290344238281,-50.789974212646484,-48.50761032104492,12.184732437133789,-28.454195022583008,-28.41980743408203,5.503822326660156,94.462,2770,5.539889202215956,4.292,47855,95.70808583828322,False,False,203,15.70259765625
nsf_h27_c12_seed0,c12,12,"['eta', 'tau_transfer', 'ipr', 'purity', 'c_l1', 'eig_sorted_0', 'eig_sorted_1', 'eig_sorted_2', 'eig_sorted_3', 'eig_sorted_4', 'eig_sorted_5', 'eig_sorted_6']",FMO_Adolphs_Renger,FMO is scored under c_FMO and ranked against both dataset H_i scored under c_FMO and generated H ~ p_theta(H | c_FMO). The generated baseline is the direct check for the original C3 top-likelihood claim.,720,1013625,50000,50000,-38.02290344238281,-50.6539192199707,-48.45183563232422,12.027502059936523,-28.428770065307617,-28.378826141357422,5.480828285217285,94.362,2820,5.639887202255955,4.18,47911,95.82008359832803,False,False,203,15.70259765625
